,1e-06,1e-05,0.0001,0.001,0.01,0.1
0,2.3235763612535263,2.3200186154259574,2.2110863935258656,1.7711920631938511,1.4736142873658074,1.572889783445994
1,2.316910103140937,2.288113232676188,2.022935132450528,1.4224987406730651,1.1450138123114904,1.2651521419604619
2,2.3108345575120715,2.2648511782328287,1.8609487663904827,1.2744818032052783,1.0094500491049554,1.1316610371722116
3,2.305377389356825,2.244421565628052,1.7457675027211508,1.1747674091445075,0.9133758827447891,1.0426500747945573
4,2.300033993106418,2.226140234035916,1.6625221498595344,1.1033906931930118,0.8380541128052605,0.9717809145748615
5,2.2960619790395103,2.207909932009379,1.6011812641885546,1.0497773749947548,0.7749508468310038,0.9102775480187602
6,2.2909399451361763,2.191825886429681,1.5503270204120212,1.0073345129436917,0.7162812180307176,0.8518682015922334
7,2.286699405924479,2.173720401149326,1.5096525991227892,0.9718565352188216,0.6628042320731613,0.8032454915142722
8,2.2828151416354707,2.159873655933804,1.47104948065016,0.9396261674827999,0.6130879837099049,0.7609918675354785
9,2.2785258746676975,2.1460643461439344,1.4382483241293165,0.91347155476941,0.5676988014729487,0.722019028996759
10,2.2748552210066055,2.131737721125285,1.4070449507077536,0.8890998397191365,0.523197620095147,0.685766947079036
11,2.2714979281955294,2.11838292549981,1.3787108314408196,0.8634257628970676,0.4831551179174748,0.6482245838813484
12,2.2682008496178523,2.105290382300483,1.3561038995742798,0.8422405935618612,0.44353131989439326,0.6280320662865829
13,2.264626865556505,2.095123558256361,1.3339293547206454,0.8203526536067327,0.40914274454986055,0.5931429168750842
14,2.2611154174380834,2.082301653374566,1.3103780898782942,0.7999019184655614,0.3739445474470241,0.5713290803665916
15,2.2575935601976185,2.071439194869995,1.292686399629381,0.7810518934408823,0.3452628825328623,0.5482196653152298
16,2.254142501619127,2.058889059109158,1.273622790590922,0.7619320544653468,0.3141541849732399,0.5228832475311795
17,2.2510829499986436,2.0491274918874103,1.2553849807315403,0.7453580581347148,0.29101544431278276,0.5120905427365253
18,2.247856342909071,2.0378873545964558,1.2406640079975129,0.7279568888968891,0.26252147415412797,0.5050215645315332
19,2.2449050381978353,2.0259370095994735,1.2225301259888544,0.707844552816285,0.24624938762392848,0.48915370558059984
20,2.2411913470162284,2.0153614632500543,1.208823318280114,0.6935467530369759,0.2253676732543623,0.47451423693757455
21,2.238192538748847,2.0042407738579646,1.193997312503391,0.6762366808629698,0.2088007799084971,0.4559494554695156
22,2.2352350234773426,1.9935443629158869,1.1822907536241742,0.6568124885446496,0.18773772619520315,0.4530676955623785
23,2.232371737798055,1.9824818048053319,1.1712732077386645,0.6422699465910594,0.17523880958076982,0.44516383647934027
24,2.2289945202297634,1.9700022313012018,1.1590748642338646,0.6289192288799418,0.1708241214438982,0.4295809668584468
25,2.225462902153863,1.9597129779179892,1.1477529955387116,0.6103422833310234,0.15227352929708238,0.41750945256503796
26,2.2230195040808782,1.9481208617316352,1.1393265041192373,0.5941594802502129,0.14597996675896252,0.43140037246688606
27,2.219604521899753,1.9361349434958564,1.1284533281750149,0.5796332734356324,0.1318957580078057,0.41973668495111244
28,2.2165216467963327,1.922805039744907,1.1162755566544003,0.5604565612590975,0.12068195528787587,0.4135847643795562
29,2.2133585506863063,1.9110612370385065,1.1075690960460238,0.5521882985224327,0.12208716307990124,0.4129092157799737
