,0.001,0.01,0.1,0.25,0.5
0,0.50886,0.50128,0.49422,0.47482,0.4469
1,0.62298,0.60804,0.59644,0.55556,0.51198
2,0.66158,0.64674,0.61882,0.57528,0.52
3,0.68882,0.67346,0.6344,0.57986,0.52938
4,0.70796,0.68874,0.63738,0.58482,0.53016
5,0.71962,0.70386,0.6382,0.58556,0.53238
6,0.73358,0.7152,0.64242,0.58644,0.53182
7,0.74592,0.72722,0.64322,0.58538,0.53322
8,0.75436,0.73356,0.6437,0.59172,0.53252
9,0.76328,0.738,0.64646,0.59016,0.531
10,0.77224,0.74336,0.64592,0.5912,0.53108
11,0.77928,0.7476,0.64986,0.5937,0.53064
12,0.78564,0.75398,0.65,0.59326,0.52966
13,0.79346,0.76184,0.65256,0.59188,0.53348
14,0.7995,0.7649,0.6526,0.5915,0.53244
15,0.80656,0.76836,0.65534,0.59288,0.53168
16,0.81176,0.77066,0.65234,0.5935,0.53218
17,0.8168,0.77426,0.65562,0.59758,0.53202
18,0.8226,0.77742,0.65814,0.59386,0.53174
19,0.82832,0.78008,0.65772,0.59224,0.53314
20,0.834,0.78462,0.6587,0.59444,0.53196
21,0.83638,0.78616,0.65862,0.5937,0.5326
22,0.84254,0.79072,0.6576,0.59304,0.5343
23,0.84746,0.7913,0.66242,0.59326,0.53424
24,0.85198,0.79504,0.66022,0.59524,0.53426
25,0.85328,0.79222,0.66204,0.59626,0.53232
26,0.85876,0.79698,0.66254,0.59412,0.53384
27,0.8622,0.79816,0.66128,0.59608,0.53312
28,0.86452,0.80218,0.6623,0.59282,0.53204
29,0.8696,0.80386,0.6587,0.59712,0.52992
