,0.1,0.2,0.25,0.35
0,0.364,0.344,0.351,0.353
1,0.483,0.467,0.448,0.46
2,0.541,0.511,0.493,0.498
3,0.572,0.54,0.53,0.53
4,0.592,0.567,0.559,0.549
5,0.606,0.582,0.577,0.565
6,0.622,0.599,0.594,0.58
7,0.634,0.613,0.608,0.593
8,0.642,0.625,0.617,0.604
9,0.652,0.631,0.629,0.612
10,0.663,0.64,0.641,0.621
11,0.671,0.65,0.647,0.632
12,0.677,0.655,0.653,0.639
13,0.685,0.663,0.662,0.646
14,0.691,0.67,0.669,0.651
15,0.697,0.675,0.674,0.659
16,0.704,0.681,0.682,0.663
17,0.709,0.684,0.684,0.67
18,0.714,0.69,0.69,0.679
19,0.72,0.699,0.695,0.681
20,0.725,0.703,0.699,0.682
21,0.731,0.708,0.707,0.688
22,0.738,0.713,0.713,0.69
23,0.74,0.716,0.714,0.698
24,0.744,0.719,0.717,0.703
25,0.749,0.724,0.72,0.703
26,0.755,0.728,0.726,0.707
27,0.76,0.731,0.728,0.71
28,0.765,0.735,0.729,0.715
29,0.767,0.742,0.734,0.715
