,1024,256,64,16
0,0.6525333333333333,0.7338222222222223,0,0
1,0.7780888888888889,0.7929111111111111,0,0
2,0.7935555555555556,0.8016222222222222,0,0
3,0.8046444444444445,0.8068222222222222,0,0
4,0.8083777777777778,0.8099777777777778,0,0
5,0.8122,0.8134888888888889,0,0
6,0.8143333333333334,0.8145777777777777,0,0
7,0.8170444444444445,0.8150444444444445,0,0
8,0.8164444444444444,0.0,0,0
9,0.8180222222222222,0.0,0,0
10,0.8218888888888889,0.0,0,0
11,0.8232444444444444,0.0,0,0
12,0.8231777777777778,0.0,0,0
13,0.8237111111111111,0.0,0,0
14,0.824,0.0,0,0
15,0.8248888888888889,0.0,0,0
16,0.8251333333333334,0.0,0,0
17,0.8259333333333333,0.0,0,0
18,0.8287111111111111,0.0,0,0
19,0.8259555555555556,0.0,0,0
20,0.8259555555555556,0.0,0,0
21,0.828,0.0,0,0
22,0.8276222222222223,0.0,0,0
23,0.8288444444444445,0.0,0,0
24,0.8280888888888889,0.0,0,0
25,0.8304666666666667,0.0,0,0
26,0.8302666666666667,0.0,0,0
27,0.8302666666666667,0.0,0,0
28,0.8306888888888889,0.0,0,0
29,0.8297777777777777,0.0,0,0
30,0.8311777777777778,0.0,0,0
31,0.8295555555555556,0.0,0,0
32,0.8299555555555556,0.0,0,0
33,0.8297777777777777,0.0,0,0
34,0.8309111111111112,0.0,0,0
